Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1652865306,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
1652865307,200,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
1652865308,400,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
1652865309,600,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
1652865310,800,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
1652865311,1000,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
1652865312,1200,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
1652865313,1400,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
1652865314,1600,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
1652865315,1800,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
1652865316,2000,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
1652865317,2000,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
1652865318,2000,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
1652865319,2000,,Aggregated,0.000000,0.000000,5700,6400,6700,6800,7500,7700,7700,7800,7800,7800,7800,303,303,5700.0,5628.186484574411,414.4022585824132,7793.123006820679,91.0
1652865320,2000,,Aggregated,0.000000,0.000000,5700,6400,6700,7200,7600,7700,8400,8500,8500,8500,8500,453,453,5700.0,5500.800727787438,414.4022585824132,8499.390077777207,91.0
1652865321,2000,,Aggregated,14.000000,14.000000,5400,6300,6600,6800,7600,8200,8500,8600,9500,9500,9500,709,709,5400.0,4758.803384315501,414.4022585824132,9453.984707128257,91.0
1652865322,2000,,Aggregated,14.000000,14.000000,4400,5700,6500,6600,7600,7800,8500,8600,9500,9500,9500,840,840,4400.0,4311.3315004517235,414.4022585824132,9453.984707128257,91.0
1652865323,2000,,Aggregated,14.000000,14.000000,4400,5700,6500,6600,7600,7800,8500,8600,9500,9500,9500,840,840,4400.0,4311.3315004517235,414.4022585824132,9453.984707128257,91.0
1652865324,2000,,Aggregated,14.000000,14.000000,4400,5700,6500,6600,7600,7800,8500,8600,9500,9500,9500,840,840,4400.0,4311.3315004517235,414.4022585824132,9453.984707128257,91.0
1652865325,2000,,Aggregated,14.000000,14.000000,4400,5700,6500,6600,7600,7800,8500,8600,9500,9500,9500,840,840,4400.0,4311.3315004517235,414.4022585824132,9453.984707128257,91.0
1652865326,2000,,Aggregated,84.000000,84.000000,4400,5700,6500,6600,7600,7800,8500,8600,18000,18000,18000,843,843,4400.0,4339.907383325279,414.4022585824132,17529.450620990247,91.0
1652865327,2000,,Aggregated,84.000000,84.000000,4400,5700,6500,6600,7600,7800,8500,8600,18000,18000,18000,843,843,4400.0,4339.907383325279,414.4022585824132,17529.450620990247,91.0
